methodId,proportion
0x536f2050,3.293536434746809e-05
0x54616b65,3.293536434746809e-05
0x454e4758,3.293536434746809e-05
0xf28c0498,3.293536434746809e-05
0x454e334e,3.293536434746809e-05
0x57656c63,3.293536434746809e-05
0x68692e20,3.293536434746809e-05
0x42756c6c,3.293536434746809e-05
0xfbee349d,3.293536434746809e-05
0x49207761,3.293536434746809e-05
0x54686973,3.293536434746809e-05
0xdd8951a2,1.6467682173734046e-05
0xa86667fd,1.6467682173734046e-05
0xea74c4fb,1.6467682173734046e-05
0x50656570,1.6467682173734046e-05
0xfcfa05ff,1.6467682173734046e-05
0xc6427474,1.6467682173734046e-05
0x22f7027d,1.6467682173734046e-05
0xa0a2b573,1.6467682173734046e-05
0xb4887ba4,1.6467682173734046e-05
0xc9905f01,1.6467682173734046e-05
0x48692076,1.6467682173734046e-05
0xe29c89ef,1.6467682173734046e-05
0x436f6f6b,1.6467682173734046e-05
0xc4b62ab9,1.6467682173734046e-05
0x4e390267,1.6467682173734046e-05
0x6cf918fc,1.6467682173734046e-05
0xa4024227,1.6467682173734046e-05
0x41207472,1.6467682173734046e-05
0x1008c83d,1.6467682173734046e-05
0xaf276672,1.6467682173734046e-05
0x57687920,1.6467682173734046e-05
0x5a3cbc8b,1.6467682173734046e-05
0xab9421e6,1.6467682173734046e-05
0x0daf5092,1.6467682173734046e-05
0x9ebb1ea1,1.6467682173734046e-05
0x3cd85128,1.6467682173734046e-05
0xe2809457,1.6467682173734046e-05
0xc2fd276e,1.6467682173734046e-05
0x454e5641,1.6467682173734046e-05
0xae89a410,1.6467682173734046e-05
0x4268a036,1.6467682173734046e-05
0x57652061,1.6467682173734046e-05
0xeba01b40,1.6467682173734046e-05
0x1ce6400a,1.6467682173734046e-05
0x53686962,1.6467682173734046e-05
0x454e3730,1.6467682173734046e-05
0x0dd9ea56,1.6467682173734046e-05
0xc1ba4e59,1.6467682173734046e-05
0x3e492aa6,1.6467682173734046e-05
0x048692c2,1.6467682173734046e-05
0xef8f9963,1.6467682173734046e-05
0xbebc4633,1.6467682173734046e-05
0x5d30887f,1.6467682173734046e-05
0x8751c041,1.6467682173734046e-05
0x1b534163,1.6467682173734046e-05
0x42842e0e,1.6467682173734046e-05
0x7468616e,1.6467682173734046e-05
0x9867d0d3,1.6467682173734046e-05
0xb277f199,1.6467682173734046e-05
0xb478d000,1.6467682173734046e-05
0x41545445,1.6467682173734046e-05
0x394e2e27,1.6467682173734046e-05
0x68573107,1.6467682173734046e-05
0x39302907,1.6467682173734046e-05
0xbd150f80,1.6467682173734046e-05
0xda5f7365,1.6467682173734046e-05
0xbdce222b,1.6467682173734046e-05
0xd54ce5b0,1.6467682173734046e-05
0xb5767166,1.6467682173734046e-05
0x42966c38,1.6467682173734046e-05
0xf09f94b4,1.6467682173734046e-05
0x26aa92c2,1.6467682173734046e-05
0x97079f5a,1.6467682173734046e-05
0xa2fbe273,1.6467682173734046e-05
0x655692b1,1.6467682173734046e-05
0xbb45c497,1.6467682173734046e-05
0x1c196aaa,1.6467682173734046e-05
0xa4c298eb,1.6467682173734046e-05
0xc84bda75,1.6467682173734046e-05
0x454e4d54,1.6467682173734046e-05
0x22544845,1.6467682173734046e-05
0x645a4a64,1.6467682173734046e-05
0x499f830a,1.6467682173734046e-05
0x52656164,1.6467682173734046e-05
0x34664e4f,1.6467682173734046e-05
0x6865792c,1.6467682173734046e-05
0x570b404d,1.6467682173734046e-05
0xe44b19f9,1.6467682173734046e-05
0x1d10e3ea,1.6467682173734046e-05
0x454e4452,1.6467682173734046e-05
0x28a24cf8,1.6467682173734046e-05
0x8acad557,1.6467682173734046e-05
0x0b16c84a,1.6467682173734046e-05
0xd078120b,1.6467682173734046e-05
0x8129fc1c,1.6467682173734046e-05
0x269f11de,1.6467682173734046e-05
0xcc8d40b8,1.6467682173734046e-05
0xb92bd54c,1.6467682173734046e-05
0x466f7220,1.6467682173734046e-05
0x4d6f726e,1.6467682173734046e-05
0xf09fabb5,1.6467682173734046e-05
0x39f47693,1.6467682173734046e-05
0x244f4b,1.6467682173734046e-05
0xacdb30e0,1.6467682173734046e-05
0x3c813239,1.6467682173734046e-05
0x42dffde6,1.6467682173734046e-05
0xe46996cd,1.6467682173734046e-05
0x30783431,1.6467682173734046e-05
