from,sender_tx_count,sender_avg_value_eth,sender_error_rate,sender_avg_gas_eff,sender_unique_to
0x0275a4bf995e532ca261f7bc1bb8aaeab0208760,1,3.0018038319657117,0.0,1.0,1
0x027876ee72648703bbb4d090f29d608e7a0f12ef,1,0.132329625288132,0.0,1.0,1
0x027a0b45a3954a22b9cc47c0c73d29e82efd3645,3,0.0,0.0,0.4734705249626356,1
0x027abf2e14bc9aa5126cf0de7aa687b474776383,1,0.0,0.0,0.7190982013813807,1
0x027ebe44803bbe2492b6a5633bf812c21df18678,1,0.0,0.0,0.7574440650759504,1
0x0281cdfefa0d5008280b7b0cac9ca0a51445d2bd,1,0.0,0.0,0.85088,1
0x02829dde92139dff7335e0b61ccc2accaea7b7db,2,0.0,0.0,0.8333333333333334,1
0x0291610b7194e11235625a628623a4ed40e822ce,1,1e-15,0.0,0.7142857142857143,1
0x0294feafc62805836dcb61859da51eec8ca90b41,1,0.0,0.0,0.6666666666666666,1
0x02959c1c9996c16cacc2c675aee2207e0bebdc66,1,0.34149704,0.0,0.9036480686695278,1
0x02984e409a3270db46fedba6b2e23a60e6d13b62,1,0.0,0.0,0.6165295718262284,1
0x02a053193388bacac64cbf1d6a8b6986390f1805,1,0.0,0.0,0.9917769884834786,1
0x02a1fc9ad7ac4a4c39c760918492bd3a853cbc4c,8,0.00012866369882401374,1.0,0.12040558043028662,1
0x02a8eb7cc3e5e58f732d97b61807a61f2a1f0a62,1,0.3,0.0,0.41128,1
0x02ac0813bd0a047a4029d10ef4c4206f5ea920e3,2,0.0,0.0,0.804357796974831,1
0x02ac8679a4e9f0ef2ff52c22b947954c81bb40fd,1,0.9883471969127339,0.0,0.9036480686695278,1
0x02aeaad8cf656e63d6d23de9e989f0a983051670,3,0.0,0.0,0.6214333333333334,1
0x02b529912732a18f6864c69734571a913d4fdf64,1,32.0,0.0,0.4586363636363636,1
0x02b8a81dc4a70db2989206d9c402481cf88c3546,1,0.0,0.0,0.8819579624242689,1
0x02c0f87936eb9089c8a9c8e6f5743e39653c9073,1,0.0,0.0,0.7156946690768401,1
0x02c60c0d59200a88761293da3eac165209d52bc5,3,0.006392234543048652,0.0,0.8243951936729732,1
0x02d40e02eb81774436c7b5ed3969a091a86c0a5e,3,0.0,0.0,0.48669472941032016,1
0x02d4bc45e55f325a0a20f5831b60e1f55918aba8,1,0.0,0.0,0.5973695310637414,1
